학생번호,성별,반,부모 학업 성취,석식 신청,선행학습경험,국어점수,영어점수,수학점수
1,남성,A,일반고등학교,O,있음,68,68,64
2,여성,D,일반고등학교,X,없음,41,60,55
3,남성,E,학사,X,없음,59,60,50
4,남성,B,일반고등학교,O,없음,77,78,68
5,남성,E,전문학사 ,O,있음,78,73,68
6,여성,D,일반고등학교,O,없음,63,77,76
7,여성,A,학사,O,없음,62,59,63
8,남성,E,학사,O,있음,93,88,84
9,남성,D,일반고등학교,O,없음,63,56,65
10,남성,C,학사,X,없음,47,42,45
11,남성,E,학사,O,있음,99,83,85
12,여성,D,일반고등학교,O,있음,80,87,90
13,남성,D,전문학사 ,O,있음,77,87,85
14,남성,C,일반고등학교,O,있음,74,74,73
15,남성,E,일반고등학교,O,있음,81,87,85
16,남성,E,전문학사 ,X,없음,69,61,57
17,남성,B,일반고등학교,O,없음,58,47,42
18,여성,C,전문학사 ,O,있음,54,62,65
19,여성,C,전문학사 ,X,없음,23,44,44
20,남성,C,학사,X,없음,39,32,31
21,여성,C,전문학사 ,O,없음,83,76,88
22,남성,C,전문학사 ,O,없음,58,52,55
23,남성,B,학사,O,있음,71,69,73
24,여성,B,학사,X,없음,44,55,54
25,남성,E,일반고등학교,X,없음,46,38,32
26,남성,C,일반고등학교,X,없음,51,45,42
27,여성,C,일반고등학교,O,없음,53,60,56
28,남성,E,일반고등학교,O,없음,71,68,60
29,여성,B,일반고등학교,O,있음,74,89,89
30,여성,A,일반고등학교,X,없음,33,54,51
31,남성,B,학사,O,없음,87,79,77
32,남성,A,학사,X,없음,78,74,73
33,남성,A,일반고등학교,X,있음,40,41,39
34,여성,B,전문학사 ,O,있음,65,65,71
35,여성,B,학사,O,있음,79,88,89
36,여성,A,학사,O,없음,68,74,74
37,여성,C,학사,O,있음,57,77,75
38,남성,B,일반고등학교,X,없음,67,65,54
39,여성,B,학사,X,있음,58,68,73
40,남성,E,전문학사 ,O,없음,98,81,77
41,여성,B,석사 ,X,없음,54,75,72
42,남성,D,일반고등학교,O,없음,77,67,64
43,남성,E,일반고등학교,O,있음,87,79,82
44,여성,C,석사 ,O,없음,58,70,70
45,남성,E,일반고등학교,O,없음,100,88,87
46,남성,C,학사,O,없음,60,46,51
47,남성,C,전문학사 ,X,없음,64,63,57
48,여성,E,일반고등학교,O,있음,65,76,78
49,여성,D,일반고등학교,O,없음,68,72,73
50,남성,C,전문학사 ,X,있음,60,63,57
51,남성,D,일반고등학교,O,없음,65,68,64
52,여성,C,일반고등학교,X,없음,52,58,60
53,여성,C,전문학사 ,O,없음,74,81,85
54,여성,C,일반고등학교,X,없음,36,53,49
55,남성,D,일반고등학교,X,없음,57,57,47
56,여성,C,학사,O,있음,56,60,62
57,여성,C,학사,O,있음,67,80,84
58,남성,D,전문학사 ,O,있음,88,87,83
59,여성,D,학사,X,없음,42,61,51
60,남성,E,일반고등학교,O,없음,68,51,48
61,남성,D,학사,X,없음,76,66,68
62,여성,E,일반고등학교,O,없음,58,63,59
63,남성,E,일반고등학교,O,있음,69,67,62
64,남성,A,학사,O,있음,77,82,78
65,남성,D,석사 ,O,있음,83,93,97
66,여성,C,일반고등학교,X,있음,49,74,70
67,남성,C,일반고등학교,O,없음,71,60,56
68,여성,D,일반고등학교,X,없음,47,46,49
69,남성,B,일반고등학교,O,없음,79,64,60
70,여성,C,일반고등학교,O,없음,60,64,57
71,여성,C,전문학사 ,O,있음,56,68,73
72,남성,C,전문학사 ,O,없음,57,52,47
73,여성,B,학사,O,없음,49,70,63
74,여성,C,일반고등학교,O,있음,79,76,81
75,남성,B,석사 ,X,없음,71,76,67
76,여성,C,일반고등학교,O,없음,71,77,70
77,여성,C,학사,O,없음,47,63,59
78,여성,D,일반고등학교,X,없음,72,91,81
79,남성,C,전문학사 ,O,없음,78,73,76
80,남성,D,일반고등학교,O,없음,54,43,45
81,여성,B,학사,O,없음,46,59,62
82,여성,D,일반고등학교,X,없음,31,38,42
83,여성,C,전문학사 ,X,없음,51,59,59
84,남성,B,일반고등학교,O,있음,78,76,73
85,여성,B,전문학사 ,X,없음,32,41,39
86,여성,C,일반고등학교,O,없음,53,71,69
87,여성,C,학사,X,없음,63,76,69
88,남성,D,학사,O,없음,97,93,88
89,여성,D,학사,O,없음,56,52,61
90,남성,B,일반고등학교,O,없음,72,76,72
91,남성,C,학사,X,없음,57,47,42
92,남성,B,특수목적고등학교,O,없음,74,71,70
93,여성,D,석사 ,O,없음,81,81,87
